Name,Rating,Total Rating,Price Pounds,Price Pence
UK Layout 60% Mechanical Gaming Keyboard Type C Wired 61 Keys LED USB Waterproof Keyboard 14 Chroma RGB Backlight Anti-ghosting Keys+Extra Keycaps for Computer/PC/Laptop/MAC (White/Red Switch),"<span class=""a-icon-alt"">4.7 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">68</span>","<span class=""a-price-whole"">33<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
Apple Magic Mouse,"<span class=""a-icon-alt"">4.6 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">4,225</span>","<span class=""a-price-whole"">73<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">00</span>"
"Webcam Cover, Camera Blocker, Webcam Cover Slide, Camera Cover Slim Webcam Privacy Cover Webcam Cover for Phone xs Max Webcam Cover for Laptops Pad Devices Camera Cover Slider Laptop Camera Cover","<span class=""a-icon-alt"">4.4 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">2,662</span>","<span class=""a-price-whole"">3<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">39</span>"
"Laptop Bag,BAGSMART 15.6 Inch Briefcase for Women Large Laptop Case Computer Bag Office Travel Business, Pink","<span class=""a-icon-alt"">4.6 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">18</span>","<span class=""a-price-whole"">24<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"PC Speakers, Smalody Computer Speaker, USB Soundbar, Gaming Speaker with Cool LED Lights, Multimedia Speaker Perfect for PC Games,Computer, Desktop, Laptop","<span class=""a-icon-alt"">4.2 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">1,283</span>","<span class=""a-price-whole"">26<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">97</span>"
"NJSJ PC Speakers,Mini Desktop Speaker for PC with Colorful LED Light Up,Stereo 2.0 USB Powered 3.5mm Aux Portable Gaming Multimedia Speaker for Computer Laptop Monitor,Tablets,Music Player,6W(Black)","<span class=""a-icon-alt"">4.3 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">2,128</span>","<span class=""a-price-whole"">12<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">73</span>"
"Voova 14-15.6 Inch Laptop Sleeve Case with Detachable Accessory Pouch, Waterproof Computer Carry Bag Cover Compatible with MacBook Pro 15/16, Acer Hp Samsung Chromebook, 15"" Surface Book, Light Grey","<span class=""a-icon-alt"">4.8 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">4,922</span>","<span class=""a-price-whole"">19<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">54</span>"
"Monitor Stand Riser, 4-Port USB 3.0 Hub Tempered Glass Monitor Stand Quick Charge 5Gbps High-speed Data Transfer Desk Organizer Laptop Stand Keyboard Tray with USB Cable for PC Laptop MacBook (White)","<span class=""a-icon-alt"">4.6 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">581</span>","<span class=""a-price-whole"">35<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"REDBAT Monitor Arm with Laptop Tray for 13 to 32 inch LCD LED Screen, Fully Adjustable Monitor Mount Up to 16 inch Notebook, Monitor Arm with VESA 75/100mm, 2 Mounting Options","<span class=""a-icon-alt"">4.3 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">82</span>","<span class=""a-price-whole"">33<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
Apple Pencil,"<span class=""a-icon-alt"">4.7 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">102,824</span>","<span class=""a-price-whole"">83<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">59</span>"
